Team,Opponent,Venue,ForAgainst,Red_Cards,Corner_Kicks,Fouls_Commited,Yellow_Cards,Shots,Goal_Kicks,Throw_Ins,Tackles,First_Half_Yellow_Cards,SoT,Offsides,Round,Season,Column1,Unnamed: 0
Aris Thessaloniki,Asteras Tripolis,Home,Against,0.0,5.0,16.0,3.0,7.0,5.0,13.0,15.0,1.0,4.0,2.0,Gameweek 3,2024,,
Asteras Tripolis,Aris Thessaloniki,Away,For,0.0,5.0,16.0,3.0,7.0,5.0,13.0,15.0,1.0,4.0,2.0,Gameweek 3,2024,,
Asteras Tripolis,Aris Thessaloniki,Away,Against,0.0,3.0,14.0,1.0,10.0,2.0,15.0,14.0,0.0,6.0,3.0,Gameweek 3,2024,,
OFI Crete,PAOK,Home,For,0.0,1.0,19.0,4.0,9.0,8.0,10.0,13.0,3.0,2.0,3.0,Gameweek 3,2024,,
OFI Crete,PAOK,Home,Against,0.0,5.0,18.0,5.0,13.0,4.0,18.0,16.0,1.0,3.0,2.0,Gameweek 3,2024,,
PAOK,OFI Crete,Away,For,0.0,5.0,18.0,5.0,13.0,4.0,18.0,16.0,1.0,3.0,2.0,Gameweek 3,2024,,
PAOK,OFI Crete,Away,Against,0.0,1.0,19.0,4.0,9.0,8.0,10.0,13.0,3.0,2.0,3.0,Gameweek 3,2024,,
Olympiacos FC,PAS Lamia 1964,Home,For,0.0,5.0,13.0,2.0,18.0,5.0,20.0,15.0,1.0,8.0,1.0,Gameweek 3,2024,,
Olympiacos FC,PAS Lamia 1964,Home,Against,0.0,2.0,15.0,3.0,7.0,8.0,15.0,20.0,2.0,5.0,2.0,Gameweek 3,2024,,
PAS Lamia 1964,Olympiacos FC,Away,For,0.0,2.0,15.0,3.0,7.0,8.0,15.0,20.0,2.0,5.0,2.0,Gameweek 3,2024,,
PAS Lamia 1964,Olympiacos FC,Away,Against,0.0,5.0,13.0,2.0,18.0,5.0,20.0,15.0,1.0,8.0,1.0,Gameweek 3,2024,,
NPS Volos,AEK Athens,Home,For,0.0,3.0,22.0,4.0,8.0,6.0,9.0,13.0,2.0,5.0,0.0,Gameweek 3,2024,,
NPS Volos,AEK Athens,Home,Against,1.0,8.0,16.0,1.0,15.0,4.0,20.0,13.0,0.0,8.0,0.0,Gameweek 3,2024,,
AEK Athens,NPS Volos,Away,For,1.0,8.0,16.0,1.0,15.0,4.0,20.0,13.0,0.0,8.0,0.0,Gameweek 3,2024,,
AEK Athens,NPS Volos,Away,Against,0.0,3.0,22.0,4.0,8.0,6.0,9.0,13.0,2.0,5.0,0.0,Gameweek 3,2024,,
PAS Giannina,Panathinaikos,Home,For,0.0,2.0,11.0,6.0,10.0,8.0,13.0,25.0,3.0,3.0,1.0,Gameweek 3,2024,,
PAS Giannina,Panathinaikos,Home,Against,0.0,8.0,20.0,2.0,11.0,11.0,20.0,14.0,0.0,2.0,0.0,Gameweek 3,2024,,
Panathinaikos,PAS Giannina,Away,For,0.0,8.0,20.0,2.0,11.0,11.0,20.0,14.0,0.0,2.0,0.0,Gameweek 3,2024,,
Panathinaikos,PAS Giannina,Away,Against,0.0,2.0,11.0,6.0,10.0,8.0,13.0,25.0,3.0,3.0,1.0,Gameweek 3,2024,,
PAS Lamia 1964,OFI Crete,Home,For,0.0,6.0,7.0,1.0,6.0,5.0,24.0,15.0,1.0,1.0,1.0,Gameweek 4,2024,,
PAS Lamia 1964,OFI Crete,Home,Against,0.0,7.0,15.0,3.0,11.0,5.0,21.0,21.0,1.0,4.0,2.0,Gameweek 4,2024,,
OFI Crete,PAS Lamia 1964,Away,For,0.0,7.0,15.0,3.0,11.0,5.0,21.0,21.0,1.0,4.0,2.0,Gameweek 4,2024,,
OFI Crete,PAS Lamia 1964,Away,Against,0.0,6.0,7.0,1.0,6.0,5.0,24.0,15.0,1.0,1.0,1.0,Gameweek 4,2024,,
Panetolikos,Panathinaikos,Home,For,0.0,3.0,11.0,2.0,10.0,10.0,11.0,6.0,0.0,3.0,0.0,Gameweek 4,2024,,
Panetolikos,Panathinaikos,Home,Against,0.0,6.0,13.0,1.0,19.0,7.0,14.0,11.0,0.0,9.0,1.0,Gameweek 4,2024,,
Panathinaikos,Panetolikos,Away,For,0.0,6.0,13.0,1.0,19.0,7.0,14.0,11.0,0.0,9.0,1.0,Gameweek 4,2024,,
Panathinaikos,Panetolikos,Away,Against,0.0,3.0,11.0,2.0,10.0,10.0,11.0,6.0,0.0,3.0,0.0,Gameweek 4,2024,,
Asteras Tripolis,PAS Giannina,Home,For,0.0,8.0,15.0,2.0,13.0,2.0,22.0,15.0,0.0,6.0,1.0,Gameweek 4,2024,,
Asteras Tripolis,PAS Giannina,Home,Against,0.0,1.0,13.0,3.0,7.0,10.0,17.0,19.0,1.0,6.0,0.0,Gameweek 4,2024,,
PAS Giannina,Asteras Tripolis,Away,For,0.0,1.0,13.0,3.0,7.0,10.0,17.0,19.0,1.0,6.0,0.0,Gameweek 4,2024,,
PAS Giannina,Asteras Tripolis,Away,Against,0.0,8.0,15.0,2.0,13.0,2.0,22.0,15.0,0.0,6.0,1.0,Gameweek 4,2024,,
A.E. Kifisia FC,Panserraikos,Home,For,0.0,3.0,15.0,4.0,20.0,5.0,29.0,6.0,1.0,6.0,2.0,Gameweek 4,2024,,
A.E. Kifisia FC,Panserraikos,Home,Against,1.0,3.0,22.0,5.0,8.0,15.0,20.0,20.0,3.0,3.0,4.0,Gameweek 4,2024,,
Panserraikos,A.E. Kifisia FC,Away,For,1.0,3.0,22.0,5.0,8.0,15.0,20.0,20.0,3.0,3.0,4.0,Gameweek 4,2024,,
Panserraikos,A.E. Kifisia FC,Away,Against,0.0,3.0,15.0,4.0,20.0,5.0,29.0,6.0,1.0,6.0,2.0,Gameweek 4,2024,,
PAOK,Aris Thessaloniki,Home,For,0.0,7.0,17.0,4.0,11.0,5.0,20.0,10.0,1.0,3.0,3.0,Gameweek 4,2024,,
PAOK,Aris Thessaloniki,Home,Against,0.0,1.0,12.0,3.0,8.0,7.0,14.0,18.0,2.0,3.0,2.0,Gameweek 4,2024,,
Aris Thessaloniki,PAOK,Away,For,0.0,1.0,12.0,3.0,8.0,7.0,14.0,18.0,2.0,3.0,2.0,Gameweek 4,2024,,
Aris Thessaloniki,PAOK,Away,Against,0.0,7.0,17.0,4.0,11.0,5.0,20.0,10.0,1.0,3.0,3.0,Gameweek 4,2024,,
AEK Athens,Olympiacos FC,Home,For,0.0,5.0,14.0,2.0,10.0,3.0,26.0,12.0,1.0,3.0,0.0,Gameweek 4,2024,,
AEK Athens,Olympiacos FC,Home,Against,0.0,5.0,22.0,4.0,9.0,4.0,19.0,15.0,1.0,2.0,2.0,Gameweek 4,2024,,
Olympiacos FC,AEK Athens,Away,For,0.0,5.0,22.0,4.0,9.0,4.0,19.0,15.0,1.0,2.0,2.0,Gameweek 4,2024,,
Olympiacos FC,AEK Athens,Away,Against,0.0,5.0,14.0,2.0,10.0,3.0,26.0,12.0,1.0,3.0,0.0,Gameweek 4,2024,,
Atromitos Athens,NPS Volos,Home,For,0.0,4.0,16.0,3.0,12.0,12.0,19.0,13.0,1.0,2.0,1.0,Gameweek 4,2024,,
Atromitos Athens,NPS Volos,Home,Against,0.0,1.0,20.0,2.0,10.0,9.0,9.0,15.0,1.0,1.0,3.0,Gameweek 4,2024,,
NPS Volos,Atromitos Athens,Away,For,0.0,1.0,20.0,2.0,10.0,9.0,9.0,15.0,1.0,1.0,3.0,Gameweek 4,2024,,
NPS Volos,Atromitos Athens,Away,Against,0.0,4.0,16.0,3.0,12.0,12.0,19.0,13.0,1.0,2.0,1.0,Gameweek 4,2024,,
OFI Crete,Atromitos Athens,Home,For,0.0,8.0,14.0,3.0,19.0,6.0,12.0,13.0,1.0,5.0,0.0,Gameweek 5,2024,,
OFI Crete,Atromitos Athens,Home,Against,0.0,4.0,19.0,4.0,13.0,16.0,9.0,15.0,1.0,4.0,3.0,Gameweek 5,2024,,
Atromitos Athens,OFI Crete,Away,For,0.0,4.0,19.0,4.0,13.0,16.0,9.0,15.0,1.0,4.0,3.0,Gameweek 5,2024,,
Atromitos Athens,OFI Crete,Away,Against,0.0,8.0,14.0,3.0,19.0,6.0,12.0,13.0,1.0,5.0,0.0,Gameweek 5,2024,,
Panserraikos,PAS Lamia 1964,Home,For,0.0,3.0,17.0,1.0,14.0,2.0,22.0,14.0,0.0,7.0,2.0,Gameweek 5,2024,,
Panserraikos,PAS Lamia 1964,Home,Against,0.0,1.0,20.0,2.0,5.0,9.0,22.0,15.0,0.0,1.0,3.0,Gameweek 5,2024,,
PAS Lamia 1964,Panserraikos,Away,For,0.0,1.0,20.0,2.0,5.0,9.0,22.0,15.0,0.0,1.0,3.0,Gameweek 5,2024,,
PAS Lamia 1964,Panserraikos,Away,Against,0.0,3.0,17.0,1.0,14.0,2.0,22.0,14.0,0.0,7.0,2.0,Gameweek 5,2024,,
Olympiacos FC,A.E. Kifisia FC,Home,For,0.0,7.0,18.0,1.0,13.0,5.0,16.0,12.0,0.0,7.0,4.0,Gameweek 5,2024,,
Olympiacos FC,A.E. Kifisia FC,Home,Against,0.0,1.0,13.0,2.0,9.0,8.0,9.0,11.0,1.0,2.0,1.0,Gameweek 5,2024,,
A.E. Kifisia FC,Olympiacos FC,Away,For,0.0,1.0,13.0,2.0,9.0,8.0,9.0,11.0,1.0,2.0,1.0,Gameweek 5,2024,,
A.E. Kifisia FC,Olympiacos FC,Away,Against,0.0,7.0,18.0,1.0,13.0,5.0,16.0,12.0,0.0,7.0,4.0,Gameweek 5,2024,,
Aris Thessaloniki,Panetolikos,Home,For,0.0,6.0,10.0,0.0,20.0,3.0,17.0,14.0,0.0,7.0,1.0,Gameweek 5,2024,,
Aris Thessaloniki,Panetolikos,Home,Against,0.0,5.0,8.0,2.0,9.0,11.0,10.0,14.0,0.0,6.0,1.0,Gameweek 5,2024,,
Panetolikos,Aris Thessaloniki,Away,For,0.0,5.0,8.0,2.0,9.0,11.0,10.0,14.0,0.0,6.0,1.0,Gameweek 5,2024,,
Panetolikos,Aris Thessaloniki,Away,Against,0.0,6.0,10.0,0.0,20.0,3.0,17.0,14.0,0.0,7.0,1.0,Gameweek 5,2024,,
NPS Volos,Asteras Tripolis,Home,For,0.0,1.0,18.0,4.0,13.0,10.0,21.0,9.0,2.0,7.0,4.0,Gameweek 5,2024,,
NPS Volos,Asteras Tripolis,Home,Against,0.0,5.0,19.0,3.0,15.0,4.0,17.0,11.0,1.0,6.0,0.0,Gameweek 5,2024,,
Asteras Tripolis,NPS Volos,Away,For,0.0,5.0,19.0,3.0,15.0,4.0,17.0,11.0,1.0,6.0,0.0,Gameweek 5,2024,,
Asteras Tripolis,NPS Volos,Away,Against,0.0,1.0,18.0,4.0,13.0,10.0,21.0,9.0,2.0,7.0,4.0,Gameweek 5,2024,,
PAS Giannina,PAOK,Home,For,0.0,8.0,10.0,4.0,13.0,7.0,23.0,8.0,0.0,4.0,2.0,Gameweek 5,2024,,
PAS Giannina,PAOK,Home,Against,0.0,6.0,9.0,2.0,10.0,10.0,20.0,13.0,1.0,4.0,0.0,Gameweek 5,2024,,
PAOK,PAS Giannina,Away,For,0.0,6.0,9.0,2.0,10.0,10.0,20.0,13.0,1.0,4.0,0.0,Gameweek 5,2024,,
PAOK,PAS Giannina,Away,Against,0.0,8.0,10.0,4.0,13.0,7.0,23.0,8.0,0.0,4.0,2.0,Gameweek 5,2024,,
Panathinaikos,AEK Athens,Home,For,0.0,6.0,13.0,3.0,10.0,9.0,28.0,22.0,2.0,4.0,1.0,Gameweek 5,2024,,
Panathinaikos,AEK Athens,Home,Against,0.0,6.0,21.0,4.0,16.0,7.0,13.0,19.0,2.0,5.0,1.0,Gameweek 5,2024,,
AEK Athens,Panathinaikos,Away,For,0.0,6.0,21.0,4.0,16.0,7.0,13.0,19.0,2.0,5.0,1.0,Gameweek 5,2024,,
AEK Athens,Panathinaikos,Away,Against,0.0,6.0,13.0,3.0,10.0,9.0,28.0,22.0,2.0,4.0,1.0,Gameweek 5,2024,,
Panetolikos,OFI Crete,Home,For,0.0,3.0,8.0,2.0,18.0,13.0,21.0,13.0,0.0,6.0,3.0,Gameweek 6,2024,,
Panetolikos,OFI Crete,Home,Against,0.0,7.0,13.0,2.0,21.0,12.0,18.0,15.0,0.0,9.0,2.0,Gameweek 6,2024,,
OFI Crete,Panetolikos,Away,For,0.0,7.0,13.0,2.0,21.0,12.0,18.0,15.0,0.0,9.0,2.0,Gameweek 6,2024,,
OFI Crete,Panetolikos,Away,Against,0.0,3.0,8.0,2.0,18.0,13.0,21.0,13.0,0.0,6.0,3.0,Gameweek 6,2024,,
A.E. Kifisia FC,PAS Lamia 1964,Home,For,1.0,5.0,15.0,4.0,21.0,8.0,20.0,14.0,1.0,5.0,0.0,Gameweek 6,2024,,
A.E. Kifisia FC,PAS Lamia 1964,Home,Against,0.0,8.0,12.0,3.0,10.0,11.0,19.0,25.0,2.0,3.0,1.0,Gameweek 6,2024,,
PAS Lamia 1964,A.E. Kifisia FC,Away,For,0.0,8.0,12.0,3.0,10.0,11.0,19.0,25.0,2.0,3.0,1.0,Gameweek 6,2024,,
PAS Lamia 1964,A.E. Kifisia FC,Away,Against,1.0,5.0,15.0,4.0,21.0,8.0,20.0,14.0,1.0,5.0,0.0,Gameweek 6,2024,,
Olympiacos FC,Aris Thessaloniki,Home,For,0.0,8.0,17.0,2.0,20.0,3.0,20.0,21.0,1.0,6.0,0.0,Gameweek 6,2024,,
Olympiacos FC,Aris Thessaloniki,Home,Against,0.0,1.0,8.0,0.0,7.0,9.0,24.0,19.0,0.0,1.0,1.0,Gameweek 6,2024,,
Aris Thessaloniki,Olympiacos FC,Away,For,0.0,1.0,8.0,0.0,7.0,9.0,24.0,19.0,0.0,1.0,1.0,Gameweek 6,2024,,
Aris Thessaloniki,Olympiacos FC,Away,Against,0.0,8.0,17.0,2.0,20.0,3.0,20.0,21.0,1.0,6.0,0.0,Gameweek 6,2024,,
PAOK,NPS Volos,Home,For,0.0,5.0,13.0,0.0,17.0,6.0,21.0,13.0,0.0,10.0,2.0,Gameweek 6,2024,,
PAOK,NPS Volos,Home,Against,0.0,3.0,12.0,1.0,5.0,10.0,16.0,14.0,1.0,2.0,2.0,Gameweek 6,2024,,
NPS Volos,PAOK,Away,For,0.0,3.0,12.0,1.0,5.0,10.0,16.0,14.0,1.0,2.0,2.0,Gameweek 6,2024,,
NPS Volos,PAOK,Away,Against,0.0,5.0,13.0,0.0,17.0,6.0,21.0,13.0,0.0,10.0,2.0,Gameweek 6,2024,,
Panserraikos,PAS Giannina,Home,For,0.0,4.0,10.0,5.0,13.0,6.0,23.0,15.0,0.0,5.0,2.0,Gameweek 6,2024,,
Panserraikos,PAS Giannina,Home,Against,1.0,4.0,12.0,3.0,5.0,7.0,29.0,10.0,1.0,3.0,3.0,Gameweek 6,2024,,
PAS Giannina,Panserraikos,Away,For,1.0,4.0,12.0,3.0,5.0,7.0,29.0,10.0,1.0,3.0,3.0,Gameweek 6,2024,,
PAS Giannina,Panserraikos,Away,Against,0.0,4.0,10.0,5.0,13.0,6.0,23.0,15.0,0.0,5.0,2.0,Gameweek 6,2024,,
Asteras Tripolis,Panathinaikos,Home,For,0.0,2.0,13.0,3.0,9.0,3.0,19.0,15.0,1.0,4.0,0.0,Gameweek 6,2024,,
Asteras Tripolis,Panathinaikos,Home,Against,0.0,4.0,8.0,1.0,12.0,7.0,17.0,11.0,0.0,9.0,2.0,Gameweek 6,2024,,
Panathinaikos,Asteras Tripolis,Away,For,0.0,4.0,8.0,1.0,12.0,7.0,17.0,11.0,0.0,9.0,2.0,Gameweek 6,2024,,
Panathinaikos,Asteras Tripolis,Away,Against,0.0,2.0,13.0,3.0,9.0,3.0,19.0,15.0,1.0,4.0,0.0,Gameweek 6,2024,,
AEK Athens,Atromitos Athens,Home,For,1.0,6.0,11.0,2.0,21.0,1.0,19.0,15.0,0.0,7.0,2.0,Gameweek 6,2024,,
AEK Athens,Atromitos Athens,Home,Against,0.0,1.0,14.0,4.0,6.0,15.0,11.0,15.0,3.0,4.0,2.0,Gameweek 6,2024,,
Atromitos Athens,AEK Athens,Away,For,0.0,1.0,14.0,4.0,6.0,15.0,11.0,15.0,3.0,4.0,2.0,Gameweek 6,2024,,
Atromitos Athens,AEK Athens,Away,Against,1.0,6.0,11.0,2.0,21.0,1.0,19.0,15.0,0.0,7.0,2.0,Gameweek 6,2024,,
PAS Lamia 1964,Panetolikos,Home,For,0.0,2.0,16.0,2.0,7.0,11.0,20.0,20.0,1.0,3.0,3.0,Gameweek 7,2024,,
PAS Lamia 1964,Panetolikos,Home,Against,0.0,5.0,18.0,4.0,10.0,6.0,26.0,21.0,1.0,1.0,0.0,Gameweek 7,2024,,
Panetolikos,PAS Lamia 1964,Away,For,0.0,5.0,18.0,4.0,10.0,6.0,26.0,21.0,1.0,1.0,0.0,Gameweek 7,2024,,
Panetolikos,PAS Lamia 1964,Away,Against,0.0,2.0,16.0,2.0,7.0,11.0,20.0,20.0,1.0,3.0,3.0,Gameweek 7,2024,,
Aris Thessaloniki,A.E. Kifisia FC,Home,For,0.0,6.0,14.0,2.0,14.0,5.0,10.0,16.0,0.0,7.0,1.0,Gameweek 7,2024,,
Aris Thessaloniki,A.E. Kifisia FC,Home,Against,0.0,3.0,20.0,7.0,14.0,11.0,25.0,19.0,1.0,3.0,0.0,Gameweek 7,2024,,
A.E. Kifisia FC,Aris Thessaloniki,Away,For,0.0,3.0,20.0,7.0,14.0,11.0,25.0,19.0,1.0,3.0,0.0,Gameweek 7,2024,,
A.E. Kifisia FC,Aris Thessaloniki,Away,Against,0.0,6.0,14.0,2.0,14.0,5.0,10.0,16.0,0.0,7.0,1.0,Gameweek 7,2024,,
Panathinaikos,PAOK,Home,For,0.0,7.0,10.0,2.0,24.0,4.0,25.0,18.0,0.0,12.0,2.0,Gameweek 7,2024,,
Panathinaikos,PAOK,Home,Against,0.0,2.0,13.0,4.0,6.0,14.0,10.0,17.0,2.0,3.0,1.0,Gameweek 7,2024,,
PAOK,Panathinaikos,Away,For,0.0,2.0,13.0,4.0,6.0,14.0,10.0,17.0,2.0,3.0,1.0,Gameweek 7,2024,,
PAOK,Panathinaikos,Away,Against,0.0,7.0,10.0,2.0,24.0,4.0,25.0,18.0,0.0,12.0,2.0,Gameweek 7,2024,,
PAS Giannina,Olympiacos FC,Home,For,0.0,2.0,10.0,3.0,5.0,13.0,17.0,8.0,3.0,0.0,2.0,Gameweek 7,2024,,
PAS Giannina,Olympiacos FC,Home,Against,0.0,6.0,15.0,2.0,26.0,5.0,22.0,10.0,1.0,8.0,1.0,Gameweek 7,2024,,
Olympiacos FC,PAS Giannina,Away,For,0.0,6.0,15.0,2.0,26.0,5.0,22.0,10.0,1.0,8.0,1.0,Gameweek 7,2024,,
Olympiacos FC,PAS Giannina,Away,Against,0.0,2.0,10.0,3.0,5.0,13.0,17.0,8.0,3.0,0.0,2.0,Gameweek 7,2024,,
Atromitos Athens,Asteras Tripolis,Home,For,1.0,4.0,8.0,1.0,8.0,6.0,18.0,4.0,1.0,1.0,2.0,Gameweek 7,2024,,
Atromitos Athens,Asteras Tripolis,Home,Against,0.0,5.0,22.0,5.0,11.0,6.0,13.0,12.0,2.0,4.0,4.0,Gameweek 7,2024,,
Asteras Tripolis,Atromitos Athens,Away,For,0.0,5.0,22.0,5.0,11.0,6.0,13.0,12.0,2.0,4.0,4.0,Gameweek 7,2024,,
Asteras Tripolis,Atromitos Athens,Away,Against,1.0,4.0,8.0,1.0,8.0,6.0,18.0,4.0,1.0,1.0,2.0,Gameweek 7,2024,,
OFI Crete,AEK Athens,Home,For,0.0,2.0,9.0,4.0,8.0,14.0,20.0,21.0,1.0,5.0,2.0,Gameweek 7,2024,,
OFI Crete,AEK Athens,Home,Against,0.0,4.0,19.0,3.0,14.0,3.0,30.0,10.0,0.0,3.0,2.0,Gameweek 7,2024,,
AEK Athens,OFI Crete,Away,For,0.0,4.0,19.0,3.0,14.0,3.0,30.0,10.0,0.0,3.0,2.0,Gameweek 7,2024,,
AEK Athens,OFI Crete,Away,Against,0.0,2.0,9.0,4.0,8.0,14.0,20.0,21.0,1.0,5.0,2.0,Gameweek 7,2024,,
NPS Volos,Panserraikos,Home,For,0.0,3.0,21.0,2.0,11.0,8.0,25.0,11.0,2.0,3.0,2.0,Gameweek 7,2024,,
NPS Volos,Panserraikos,Home,Against,0.0,5.0,19.0,4.0,10.0,9.0,26.0,11.0,1.0,3.0,2.0,Gameweek 7,2024,,
Panserraikos,NPS Volos,Away,For,0.0,5.0,19.0,4.0,10.0,9.0,26.0,11.0,1.0,3.0,2.0,Gameweek 7,2024,,
Panserraikos,NPS Volos,Away,Against,0.0,3.0,21.0,2.0,11.0,8.0,25.0,11.0,2.0,3.0,2.0,Gameweek 7,2024,,
PAS Lamia 1964,PAS Giannina,Home,For,0.0,4.0,17.0,3.0,15.0,11.0,24.0,9.0,1.0,6.0,2.0,Gameweek 8,2024,,
PAS Lamia 1964,PAS Giannina,Home,Against,0.0,3.0,15.0,3.0,12.0,5.0,20.0,8.0,2.0,2.0,0.0,Gameweek 8,2024,,
PAS Giannina,PAS Lamia 1964,Away,For,0.0,3.0,15.0,3.0,12.0,5.0,20.0,8.0,2.0,2.0,0.0,Gameweek 8,2024,,
PAS Giannina,PAS Lamia 1964,Away,Against,0.0,4.0,17.0,3.0,15.0,11.0,24.0,9.0,1.0,6.0,2.0,Gameweek 8,2024,,
Panetolikos,NPS Volos,Home,For,0.0,3.0,19.0,2.0,15.0,8.0,18.0,16.0,1.0,7.0,0.0,Gameweek 8,2024,,
Panetolikos,NPS Volos,Home,Against,0.0,6.0,12.0,3.0,13.0,8.0,20.0,8.0,1.0,0.0,4.0,Gameweek 8,2024,,
NPS Volos,Panetolikos,Away,For,0.0,6.0,12.0,3.0,13.0,8.0,20.0,8.0,1.0,0.0,4.0,Gameweek 8,2024,,
NPS Volos,Panetolikos,Away,Against,0.0,3.0,19.0,2.0,15.0,8.0,18.0,16.0,1.0,7.0,0.0,Gameweek 8,2024,,
Aris Thessaloniki,Panserraikos,Home,For,0.0,8.0,17.0,3.0,23.0,7.0,22.0,10.0,1.0,7.0,3.0,Gameweek 8,2024,,
Aris Thessaloniki,Panserraikos,Home,Against,0.0,2.0,22.0,6.0,8.0,14.0,19.0,11.0,4.0,1.0,1.0,Gameweek 8,2024,,
Panserraikos,Aris Thessaloniki,Away,For,0.0,2.0,22.0,6.0,8.0,14.0,19.0,11.0,4.0,1.0,1.0,Gameweek 8,2024,,
Panserraikos,Aris Thessaloniki,Away,Against,0.0,8.0,17.0,3.0,23.0,7.0,22.0,10.0,1.0,7.0,3.0,Gameweek 8,2024,,
A.E. Kifisia FC,OFI Crete,Home,For,1.0,5.0,11.0,2.0,12.0,9.0,37.0,15.0,1.0,2.0,3.0,Gameweek 8,2024,,
A.E. Kifisia FC,OFI Crete,Home,Against,0.0,4.0,16.0,6.0,9.0,9.0,21.0,24.0,2.0,4.0,4.0,Gameweek 8,2024,,
OFI Crete,A.E. Kifisia FC,Away,For,0.0,4.0,16.0,6.0,9.0,9.0,21.0,24.0,2.0,4.0,4.0,Gameweek 8,2024,,
OFI Crete,A.E. Kifisia FC,Away,Against,1.0,5.0,11.0,2.0,12.0,9.0,37.0,15.0,1.0,2.0,3.0,Gameweek 8,2024,,
Asteras Tripolis,AEK Athens,Home,For,1.0,2.0,9.0,6.0,5.0,13.0,9.0,21.0,4.0,1.0,0.0,Gameweek 8,2024,,
Asteras Tripolis,AEK Athens,Home,Against,0.0,3.0,11.0,5.0,20.0,8.0,13.0,11.0,2.0,6.0,2.0,Gameweek 8,2024,,
AEK Athens,Asteras Tripolis,Away,For,0.0,3.0,11.0,5.0,20.0,8.0,13.0,11.0,2.0,6.0,2.0,Gameweek 8,2024,,
AEK Athens,Asteras Tripolis,Away,Against,1.0,2.0,9.0,6.0,5.0,13.0,9.0,21.0,4.0,1.0,0.0,Gameweek 8,2024,,
PAOK,Atromitos Athens,Home,For,0.0,8.0,15.0,3.0,20.0,3.0,22.0,16.0,0.0,7.0,5.0,Gameweek 8,2024,,
PAOK,Atromitos Athens,Home,Against,0.0,1.0,13.0,3.0,7.0,6.0,12.0,13.0,1.0,3.0,2.0,Gameweek 8,2024,,
Atromitos Athens,PAOK,Away,For,0.0,1.0,13.0,3.0,7.0,6.0,12.0,13.0,1.0,3.0,2.0,Gameweek 8,2024,,
Atromitos Athens,PAOK,Away,Against,0.0,8.0,15.0,3.0,20.0,3.0,22.0,16.0,0.0,7.0,5.0,Gameweek 8,2024,,
NPS Volos,A.E. Kifisia FC,Home,For,0.0,4.0,12.0,4.0,14.0,3.0,19.0,20.0,1.0,7.0,2.0,Gameweek 9,2024,,
NPS Volos,A.E. Kifisia FC,Home,Against,2.0,8.0,19.0,6.0,9.0,10.0,16.0,13.0,2.0,2.0,2.0,Gameweek 9,2024,,
A.E. Kifisia FC,NPS Volos,Away,For,2.0,8.0,19.0,6.0,9.0,10.0,16.0,13.0,2.0,2.0,2.0,Gameweek 9,2024,,
A.E. Kifisia FC,NPS Volos,Away,Against,0.0,4.0,12.0,4.0,14.0,3.0,19.0,20.0,1.0,7.0,2.0,Gameweek 9,2024,,
Atromitos Athens,Panetolikos,Home,For,0.0,1.0,22.0,2.0,12.0,6.0,17.0,12.0,1.0,5.0,3.0,Gameweek 9,2024,,
Atromitos Athens,Panetolikos,Home,Against,1.0,2.0,16.0,2.0,7.0,7.0,27.0,15.0,0.0,4.0,0.0,Gameweek 9,2024,,
Panetolikos,Atromitos Athens,Away,For,1.0,2.0,16.0,2.0,7.0,7.0,27.0,15.0,0.0,4.0,0.0,Gameweek 9,2024,,
Panetolikos,Atromitos Athens,Away,Against,0.0,1.0,22.0,2.0,12.0,6.0,17.0,12.0,1.0,5.0,3.0,Gameweek 9,2024,,
Asteras Tripolis,PAS Lamia 1964,Home,For,0.0,5.0,14.0,2.0,13.0,7.0,28.0,17.0,0.0,3.0,1.0,Gameweek 9,2024,,
Asteras Tripolis,PAS Lamia 1964,Home,Against,0.0,2.0,10.0,3.0,10.0,6.0,21.0,11.0,1.0,3.0,5.0,Gameweek 9,2024,,
PAS Lamia 1964,Asteras Tripolis,Away,For,0.0,2.0,10.0,3.0,10.0,6.0,21.0,11.0,1.0,3.0,5.0,Gameweek 9,2024,,
PAS Lamia 1964,Asteras Tripolis,Away,Against,0.0,5.0,14.0,2.0,13.0,7.0,28.0,17.0,0.0,3.0,1.0,Gameweek 9,2024,,
Panathinaikos,Panserraikos,Home,For,0.0,7.0,22.0,2.0,18.0,6.0,17.0,15.0,0.0,6.0,1.0,Gameweek 9,2024,,
Panathinaikos,Panserraikos,Home,Against,1.0,1.0,13.0,4.0,8.0,2.0,15.0,15.0,4.0,1.0,1.0,Gameweek 9,2024,,
Panserraikos,Panathinaikos,Away,For,1.0,1.0,13.0,4.0,8.0,2.0,15.0,15.0,4.0,1.0,1.0,Gameweek 9,2024,,
Panserraikos,Panathinaikos,Away,Against,0.0,7.0,22.0,2.0,18.0,6.0,17.0,15.0,0.0,6.0,1.0,Gameweek 9,2024,,
Aris Thessaloniki,PAS Giannina,Home,For,0.0,6.0,11.0,4.0,19.0,7.0,20.0,11.0,2.0,6.0,1.0,Gameweek 9,2024,,
Aris Thessaloniki,PAS Giannina,Home,Against,1.0,1.0,9.0,2.0,3.0,12.0,20.0,13.0,0.0,0.0,1.0,Gameweek 9,2024,,
PAS Giannina,Aris Thessaloniki,Away,For,1.0,1.0,9.0,2.0,3.0,12.0,20.0,13.0,0.0,0.0,1.0,Gameweek 9,2024,,
